index,wine_name,wine_country,wine_region,wine_winery,wine_type,wine_grape,wine_image,body,texture,sweetness,acidity,flavor1,flavor2,flavor3
1,Bordeaux Rouge 1961,France,Bordeaux,Mouton Cadet,Red wine,Blend,https://images.vivino.com/thumbs/UN_lNptVQHG8ER39M9tfaQ_pb_x600.png,67.16929999999999,60.8615,9.5681,67.0865,black fruit,oaky,
2,Côtes-du-Rhône Rouge 1993,France,Côtes-du-Rhône,E. Guigal,Red wine,Blend,https://images.vivino.com/thumbs/I0e3d01sQLumhbrSID4aEg_pb_x600.png,72.487,55.4876,13.64166,60.5118,black fruit,oaky,earthy
3,Pauillac (Premier Grand Cru Classé) 1954,France,Pauillac,Château Mouton Rothschild,Red wine,Blend,https://images.vivino.com/thumbs/XG8AqMR8QduChxrtx5pkKA_pb_x600.png,76.3609,77.6824,17.924799999999998,77.116,oaky,earthy,black fruit
4,Pauillac (Premier Grand Cru Classé) 1939,France,Pauillac,Château Mouton Rothschild,Red wine,Blend,https://images.vivino.com/thumbs/DNeQQKoHQCyq7BakiBm_zQ_pb_x600.png,76.3609,77.6824,17.924799999999998,77.116,oaky,earthy,black fruit
5,Memoro Rosso N.V.,Italy,Toscana,Piccini,Red wine,Blend,https://images.vivino.com/thumbs/eP9Wy_D8SeqfQCTK-fgOzA_pb_x600.png,55.9952,44.0048,25.4795,48.751,oaky,black fruit,red fruit
6,Portillo Malbec 2002,Argentina,Tunuyán,Salentein,Red wine,Malbec,https://images.vivino.com/thumbs/3ldxHsUCS9mRn4DgxAz4lw_pb_x600.png,62.8039,36.3738,29.7094,45.1029,black fruit,oaky,red fruit
7,Portillo Malbec 2004,Argentina,Tunuyán,Salentein,Red wine,Malbec,https://images.vivino.com/thumbs/3ldxHsUCS9mRn4DgxAz4lw_pb_x600.png,62.8039,36.3738,29.7094,45.1029,black fruit,oaky,red fruit
8,Château Margaux (Premier Grand Cru Classé) 1918,France,Margaux,Château Margaux,Red wine,Blend,https://images.vivino.com/thumbs/DygMHm5zSi2qXX6I0Hk90A_pb_x600.png,66.8281,70.55369999999999,15.21222,79.0102,earthy,oaky,black fruit
9,Château Margaux (Premier Grand Cru Classé) 1948,France,Margaux,Château Margaux,Red wine,Blend,https://images.vivino.com/thumbs/DygMHm5zSi2qXX6I0Hk90A_pb_x600.png,66.8281,70.55369999999999,15.21222,79.0102,earthy,oaky,black fruit
10,Saint-Julien (Grand Cru Classé) 1968,France,Saint-Julien,Château Talbot,Red wine,Blend,https://images.vivino.com/thumbs/9zhiQv6cR-SfUufc9_CK6w_pb_x600.png,69.9131,69.4897,14.84646,78.5774,oaky,black fruit,earthy
11,Saint-Julien (Grand Cru Classé) 1947,France,Saint-Julien,Château Talbot,Red wine,Blend,https://images.vivino.com/thumbs/9zhiQv6cR-SfUufc9_CK6w_pb_x600.png,69.9131,69.4897,14.84646,78.5774,oaky,black fruit,earthy
